"id","name","firstname","lastname","number","club","position","height","weight","nationality","birthdate","photo"
25903,"F. Dahmen","Finn Gilbert","Dahmen",1,"Augsburg","Goalkeeper","186 cm","80 kg","Germany","1998-03-27","https://media.api-sports.io/football/players/25903.png"
14553,"N. Labrović","Nediljko","Labrović",22,"Augsburg","Goalkeeper","196 cm","88 kg","Croatia","1999-10-10","https://media.api-sports.io/football/players/14553.png"
163064,"D. Klein","Daniel","Klein",30,"Augsburg","Goalkeeper","191 cm","84 kg","Germany","2001-03-13","https://media.api-sports.io/football/players/163064.png"
3001,"R. Gumny","Robert Krzysztof","Gumny",2,"Augsburg","Defender","182 cm","71 kg","Poland","1998-06-04","https://media.api-sports.io/football/players/3001.png"
15901,"M. Pedersen","Mads Giersing Valentin","Pedersen",3,"Augsburg","Defender","174 cm","72 kg","Denmark","1996-09-01","https://media.api-sports.io/football/players/15901.png"
25293,"R. Oxford","Reece Joel","Oxford",4,"Augsburg","Defender","193 cm","86 kg","England","1998-12-16","https://media.api-sports.io/football/players/25293.png"
163039,"C. Matsima","Chrislain Iris Aurel","Matsima",34,"Augsburg","Defender","193 cm","81 kg","France","2002-05-15","https://media.api-sports.io/football/players/163039.png"
25290,"J. Gouweleeuw","Jeffrey","Gouweleeuw",6,"Augsburg","Defender","188 cm","83 kg","Netherlands","1991-07-10","https://media.api-sports.io/football/players/25290.png"
2360,"D. Giannoulis","Dimitrios Christos","Giannoulis",13,"Augsburg","Defender","175 cm","62 kg","Greece","1995-10-17","https://media.api-sports.io/football/players/2360.png"
48574,"C. Zesiger","Cédric Adrian","Zesiger",5,"Augsburg","Defender","194 cm","92 kg","Switzerland","1998-06-24","https://media.api-sports.io/football/players/48574.png"
26242,"K. Schlotterbeck","Keven Matteo","Schlotterbeck",16,"Augsburg","Defender","189 cm","84 kg","Germany","1997-04-28","https://media.api-sports.io/football/players/26242.png"
413065,"Noahkai Kai Daniel Banks","Noahkai Kai Daniel","Banks",5,"Augsburg","Midfielder","193 cm","93 kg","USA","2006-12-01","https://media.api-sports.io/football/players/413065.png"
468698,"Felix Meiser","Felix","Meiser",41,"Augsburg","Defender","189 cm","Unknown","Germany","2007-01-16","https://media.api-sports.io/football/players/468698.png"
319858,"H. Koudossou","Henri","Koudossou",14,"Augsburg","Attacker","180 cm","76 kg","Germany","1999-09-03","https://media.api-sports.io/football/players/319858.png"
25413,"E. Rexhbeçaj","Elvis","Rexhbeçaj",8,"Augsburg","Midfielder","182 cm","78 kg","Kosovo","1997-11-01","https://media.api-sports.io/football/players/25413.png"
25355,"A. Maier","Arne Carl","Maier",13,"Augsburg","Midfielder","186 cm","79 kg","Germany","1999-01-08","https://media.api-sports.io/football/players/25355.png"
26,"M. Wolf","Marius","Wolf",17,"Augsburg","Midfielder","188 cm","81 kg","Germany","1995-05-27","https://media.api-sports.io/football/players/26.png"
14395,"K. Jakić","Kristijan","Jakić",6,"Augsburg","Midfielder","184 cm","78 kg","Croatia","1997-05-14","https://media.api-sports.io/football/players/14395.png"
15799,"F. Onyeka","Ogochukwu Frank","Onyeka",15,"Augsburg","Midfielder","183 cm","70 kg","Nigeria","1998-01-01","https://media.api-sports.io/football/players/15799.png"
20634,"A. Claude-Maurice","Alexis","Claude-Maurice",18,"Augsburg","Attacker","174 cm","62 kg","France","1998-06-06","https://media.api-sports.io/football/players/20634.png"
25299,"F. Jensen","Hans Fredrik","Jensen",24,"Augsburg","Midfielder","183 cm","78 kg","Finland","1997-09-09","https://media.api-sports.io/football/players/25299.png"
