"id","name","league","country","formation","stadium","trophies","logo"
170,"FC Augsburg","Bundesliga","Germany","3-4-2-1","WWK Arena",1,"https://media.api-sports.io/football/teams/170.png"
168,"Bayer Leverkusen","Bundesliga","Germany","3-4-2-1","BayArena",6,"https://media.api-sports.io/football/teams/168.png"
157,"Bayern München","Bundesliga","Germany","4-2-3-1","Fußball Arena München",84,"https://media.api-sports.io/football/teams/157.png"
176,"VfL Bochum","Bundesliga","Germany","4-1-2-1-2","Vonovia Ruhrstadion",5,"https://media.api-sports.io/football/teams/176.png"
163,"Borussia Mönchengladbach","Bundesliga","Germany","4-2-3-1","BORUSSIA-PARK",12,"https://media.api-sports.io/football/teams/163.png"
181,"SV Darmstadt 98","Bundesliga","Germany","4-4-2","Merck-Stadion am Böllenfalltor",9,"https://media.api-sports.io/football/teams/181.png"
165,"Borussia Dortmund","Bundesliga","Germany","4-2-3-1","BVB Stadion Dortmund",24,"https://media.api-sports.io/football/teams/165.png"
169,"Eintracht Frankfurt","Bundesliga","Germany","4-4-2","Frankfurt Arena",11,"https://media.api-sports.io/football/teams/169.png"
160,"SC Freiburg","Bundesliga","Germany","4-2-3-1","Europa-Park Stadion",6,"https://media.api-sports.io/football/teams/160.png"
180,"1. FC Heidenheim","Bundesliga","Germany","4-2-3-1","Voith-Arena",8,"https://media.api-sports.io/football/teams/180.png"
167,"1899 Hoffenheim","Bundesliga","Germany","3-4-1-2","PreZero Arena",4,"https://media.api-sports.io/football/teams/167.png"
192,"1.FC Köln","Bundesliga","Germany","3-4-2-1","Cologne Stadium",13,"https://media.api-sports.io/football/teams/192.png"
173,"RB Leipzig","Bundesliga","Germany","4-4-2","Leipzig Stadium",6,"https://media.api-sports.io/football/teams/173.png"
164,"FSV Mainz 05","Bundesliga","Germany","3-4-2-1","MEWA ARENA",4,"https://media.api-sports.io/football/teams/164.png"
172,"VfB Stuttgart","Bundesliga","Germany","4-2-3-1","Stuttgart Arena",13,"https://media.api-sports.io/football/teams/172.png"
182,"Union Berlin","Bundesliga","Germany","3-4-2-1","Stadion An der Alten Försterei",8,"https://media.api-sports.io/football/teams/182.png"
161,"VfL Wolfsburg","Bundesliga","Germany","4-4-2","Volkswagen Arena",5,"https://media.api-sports.io/football/teams/161.png"
542,"Alaves","La Liga","Spain","4-2-3-1","Estadio de Mendizorroza",4,"https://media.api-sports.io/football/teams/542.png"
723,"Almeria","La Liga","Spain","4-2-3-1","Power Horse Stadium - Estadio de los Juegos Mediterráneos",1,"https://media.api-sports.io/football/teams/723.png"
531,"Athletic Club","La Liga","Spain","4-2-3-1","San Mamés Barria",36,"https://media.api-sports.io/football/teams/531.png"
530,"Atletico Madrid","La Liga","Spain","4-4-2","Estádio Cívitas Metropolitano",33,"https://media.api-sports.io/football/teams/530.png"
529,"Barcelona","La Liga","Spain","4-2-3-1","Estadi Olímpic Lluís Companys",105,"https://media.api-sports.io/football/teams/529.png"
543,"Real Betis","La Liga","Spain","4-2-3-1","Estadio Benito Villamarín",11,"https://media.api-sports.io/football/teams/543.png"
724,"Cadiz","La Liga","Spain","4-4-2","Estadio Nuevo Mirandilla",2,"https://media.api-sports.io/football/teams/724.png"
538,"Celta Vigo","La Liga","Spain","3-4-2-1","Abanca-Balaídos",3,"https://media.api-sports.io/football/teams/538.png"
546,"Getafe","La Liga","Spain","4-4-2","Estadio Coliseum",0,"https://media.api-sports.io/football/teams/546.png"
547,"Girona","La Liga","Spain","4-2-3-1","Estadi Municipal de Montilivi",0,"https://media.api-sports.io/football/teams/547.png"
715,"Granada CF","La Liga","Spain","4-4-2","Estadio Nuevo Los Cármenes",4,"https://media.api-sports.io/football/teams/715.png"
534,"Las Palmas","La Liga","Spain","4-2-3-1","Estadio de Gran Canaria",4,"https://media.api-sports.io/football/teams/534.png"
798,"Mallorca","La Liga","Spain","4-4-2","Estadi Mallorca Son Moix",4,"https://media.api-sports.io/football/teams/798.png"
727,"Osasuna","La Liga","Spain","4-3-3","Estadio El Sadar",4,"https://media.api-sports.io/football/teams/727.png"
728,"Rayo Vallecano","La Liga","Spain","4-2-3-1","Estadio de Vallecas",1,"https://media.api-sports.io/football/teams/728.png"
541,"Real Madrid","La Liga","Spain","4-2-3-1","Estadio Santiago Bernabéu",103,"https://media.api-sports.io/football/teams/541.png"
548,"Real Sociedad","La Liga","Spain","4-1-4-1","Reale Arena",12,"https://media.api-sports.io/football/teams/548.png"
536,"Sevilla","La Liga","Spain","4-2-3-1","Estadio Ramón Sánchez Pizjuán",19,"https://media.api-sports.io/football/teams/536.png"
532,"Valencia","La Liga","Spain","4-4-2","Estadio de Mestalla",25,"https://media.api-sports.io/football/teams/532.png"
533,"Villarreal","La Liga","Spain","4-4-2","Estadio de la Cerámica",1,"https://media.api-sports.io/football/teams/533.png"
106,"Stade Brestois 29","Ligue 1","France","4-3-3","Stade Francis-Le Blé",0,"https://media.api-sports.io/football/teams/106.png"
99,"Clermont Foot","Ligue 1","France","4-2-3-1","Stade Gabriel-Montpied",0,"https://media.api-sports.io/football/teams/99.png"
111,"LE Havre","Ligue 1","France","4-4-2","Stade Océane",7,"https://media.api-sports.io/football/teams/111.png"
116,"Lens","Ligue 1","France","3-4-1-2","Stade Bollaert-Delelis",9,"https://media.api-sports.io/football/teams/116.png"
79,"Lille","Ligue 1","France","4-2-3-1","Decathlon Arena – Stade Pierre-Mauroy",15,"https://media.api-sports.io/football/teams/79.png"
97,"Lorient","Ligue 1","France","4-1-4-1","Stade du Moustoir - Yves Allainmat",2,"https://media.api-sports.io/football/teams/97.png"
80,"Lyon","Ligue 1","France","4-3-3","Groupama Stadium",20,"https://media.api-sports.io/football/teams/80.png"
81,"Marseille","Ligue 1","France","4-2-3-1","Stade Orange Vélodrome",27,"https://media.api-sports.io/football/teams/81.png"
112,"Metz","Ligue 1","France","4-4-2","Stade Saint-Symphorien",6,"https://media.api-sports.io/football/teams/112.png"
91,"Monaco","Ligue 1","France","4-2-3-1","Stade Louis-II",18,"https://media.api-sports.io/football/teams/91.png"
82,"Montpellier","Ligue 1","France","4-2-3-1","Stade de la Mosson-Mondial 98",3,"https://media.api-sports.io/football/teams/82.png"
83,"Nantes","Ligue 1","France","4-2-3-1","Stade de la Beaujoire - Louis Fonteneau",14,"https://media.api-sports.io/football/teams/83.png"
84,"Nice","Ligue 1","France","3-4-2-1","Allianz Riviera",11,"https://media.api-sports.io/football/teams/84.png"
85,"Paris Saint Germain","Ligue 1","France","4-3-3","Parc des Princes",51,"https://media.api-sports.io/football/teams/85.png"
93,"Reims","Ligue 1","France","4-2-3-1","Stade Auguste-Delaune II",10,"https://media.api-sports.io/football/teams/93.png"
94,"Rennes","Ligue 1","France","3-4-2-1","Roazhon Park",3,"https://media.api-sports.io/football/teams/94.png"
95,"Strasbourg","Ligue 1","France","4-2-3-1","Stade de la Meinau",8,"https://media.api-sports.io/football/teams/95.png"
96,"Toulouse","Ligue 1","France","3-4-2-1","Stadium de Toulouse",4,"https://media.api-sports.io/football/teams/96.png"
42,"Arsenal","Premier League","England","4-3-3","Emirates Stadium",47,"https://media.api-sports.io/football/teams/42.png"
66,"Aston Villa","Premier League","England","4-2-3-1","Villa Park",21,"https://media.api-sports.io/football/teams/66.png"
35,"Bournemouth","Premier League","England","4-2-3-1","Vitality Stadium",2,"https://media.api-sports.io/football/teams/35.png"
55,"Brentford","Premier League","England","4-2-3-1","Gtech Community Stadium",5,"https://media.api-sports.io/football/teams/55.png"
51,"Brighton","Premier League","England","4-2-3-1","The American Express Community Stadium",5,"https://media.api-sports.io/football/teams/51.png"
44,"Burnley","Premier League","England","4-2-3-1","Turf Moor",10,"https://media.api-sports.io/football/teams/44.png"
49,"Chelsea","Premier League","England","4-2-3-1","Stamford Bridge",13,"https://media.api-sports.io/football/teams/49.png"
52,"Crystal Palace","Premier League","England","3-4-2-1","Selhurst Park",3,"https://media.api-sports.io/football/teams/52.png"
45,"Everton","Premier League","England","4-2-3-1","Goodison Park",25,"https://media.api-sports.io/football/teams/45.png"
36,"Fulham","Premier League","England","4-2-3-1","Craven Cottage",6,"https://media.api-sports.io/football/teams/36.png"
40,"Liverpool","Premier League","England","4-2-3-1","Anfield",30,"https://media.api-sports.io/football/teams/40.png"
1359,"Luton","Premier League","England","3-5-2","Kenilworth Road",6,"https://media.api-sports.io/football/teams/1359.png"
50,"Manchester City","Premier League","England","4-2-3-1","Etihad Stadium",14,"https://media.api-sports.io/football/teams/50.png"
33,"Manchester United","Premier League","England","3-4-2-1","Old Trafford",70,"https://media.api-sports.io/football/teams/33.png"
34,"Newcastle","Premier League","England","4-3-3","St. James' Park",17,"https://media.api-sports.io/football/teams/34.png"
65,"Nottingham Forest","Premier League","England","4-2-3-1","The City Ground",10,"https://media.api-sports.io/football/teams/65.png"
62,"Sheffield United","Premier League","England","4-2-3-1","Bramall Lane",8,"https://media.api-sports.io/football/teams/62.png"
47,"Tottenham","Premier League","England","4-3-3","Tottenham Hotspur Stadium",17,"https://media.api-sports.io/football/teams/47.png"
48,"West Ham","Premier League","England","4-2-3-1","London Stadium",8,"https://media.api-sports.io/football/teams/48.png"
39,"Wolves","Premier League","England","3-4-2-1","Molineux Stadium",17,"https://media.api-sports.io/football/teams/39.png"
499,"Atalanta","Serie A","Italy","3-4-2-1","Gewiss Stadium",8,"https://media.api-sports.io/football/teams/499.png"
500,"Bologna","Serie A","Italy","4-2-3-1","Stadio Renato Dall'Ara",15,"https://media.api-sports.io/football/teams/500.png"
490,"Cagliari","Serie A","Italy","4-2-3-1","Unipol Domus",6,"https://media.api-sports.io/football/teams/490.png"
511,"Empoli","Serie A","Italy","3-4-2-1","Stadio Carlo Castellani – Computer Gross Arena",4,"https://media.api-sports.io/football/teams/511.png"
502,"Fiorentina","Serie A","Italy","4-2-3-1","Stadio Artemio Franchi",15,"https://media.api-sports.io/football/teams/502.png"
512,"Frosinone","Serie A","Italy","3-5-2","Stadio Benito Stirpe",3,"https://media.api-sports.io/football/teams/512.png"
495,"Genoa","Serie A","Italy","3-5-2","Stadio Comunale Luigi Ferraris",17,"https://media.api-sports.io/football/teams/495.png"
505,"Inter","Serie A","Italy","3-5-2","Stadio Giuseppe Meazza",46,"https://media.api-sports.io/football/teams/505.png"
496,"Juventus","Serie A","Italy","4-2-3-1","Allianz Stadium",71,"https://media.api-sports.io/football/teams/496.png"
487,"Lazio","Serie A","Italy","4-2-3-1","Stadio Olimpico",17,"https://media.api-sports.io/football/teams/487.png"
867,"Lecce","Serie A","Italy","4-2-3-1","Stadio Comunale Via del Mare",5,"https://media.api-sports.io/football/teams/867.png"
489,"AC Milan","Serie A","Italy","4-2-3-1","Stadio Giuseppe Meazza",53,"https://media.api-sports.io/football/teams/489.png"
1579,"Monza","Serie A","Italy","3-4-2-1","U-Power Stadium",5,"https://media.api-sports.io/football/teams/1579.png"
492,"Napoli","Serie A","Italy","4-3-3","Stadio Diego Armando Maradona",14,"https://media.api-sports.io/football/teams/492.png"
497,"AS Roma","Serie A","Italy","3-4-2-1","Stadio Olimpico",17,"https://media.api-sports.io/football/teams/497.png"
514,"Salernitana","Serie A","Italy","4-3-3","Stadio Arechi",7,"https://media.api-sports.io/football/teams/514.png"
488,"Sassuolo","Serie A","Italy","4-2-3-1","MAPEI Stadium - Città del Tricolore",2,"https://media.api-sports.io/football/teams/488.png"
503,"Torino","Serie A","Italy","3-5-2","Stadio Olimpico Grande Torino",16,"https://media.api-sports.io/football/teams/503.png"
494,"Udinese","Serie A","Italy","3-5-2","Bluenergy Stadium",6,"https://media.api-sports.io/football/teams/494.png"
504,"Verona","Serie A","Italy","3-4-1-2","Stadio Marc'Antonio Bentegodi",4,"https://media.api-sports.io/football/teams/504.png"
